date,datatype,station,attributes,value
2024-01-13T00:00:00,WT01,GHCND:USW00094728,",,W,",1.0
2024-01-14T00:00:00,ADPT,GHCND:USW00094728,",,W,",-111.0
2024-01-14T00:00:00,ASLP,GHCND:USW00094728,",,W,",10125.0
2024-01-14T00:00:00,ASTP,GHCND:USW00094728,",,W,",10075.0
2024-01-14T00:00:00,AWBT,GHCND:USW00094728,",,W,",-22.0
2024-01-14T00:00:00,AWND,GHCND:USW00094728,",,W,",3.7
2024-01-14T00:00:00,PRCP,GHCND:USW00094728,"T,,W,2400",0.0
2024-01-14T00:00:00,RHAV,GHCND:USW00094728,",,W,",41.0
2024-01-14T00:00:00,RHMN,GHCND:USW00094728,",,W,",21.0
2024-01-14T00:00:00,RHMX,GHCND:USW00094728,",,W,",56.0
2024-01-14T00:00:00,SNOW,GHCND:USW00094728,"T,,W,",0.0
2024-01-14T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",0.0
2024-01-14T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",6.7
2024-01-14T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-3.2
2024-01-14T00:00:00,WDF2,GHCND:USW00094728,",,W,",270.0
2024-01-14T00:00:00,WDF5,GHCND:USW00094728,",,W,",280.0
2024-01-14T00:00:00,WSF2,GHCND:USW00094728,",,W,",11.2
2024-01-14T00:00:00,WSF5,GHCND:USW00094728,",,W,",16.5
2024-01-15T00:00:00,ADPT,GHCND:USW00094728,",,W,",-144.0
2024-01-15T00:00:00,ASLP,GHCND:USW00094728,",,W,",10230.0
2024-01-15T00:00:00,ASTP,GHCND:USW00094728,",,W,",10176.0
2024-01-15T00:00:00,AWBT,GHCND:USW00094728,",,W,",-61.0
2024-01-15T00:00:00,AWND,GHCND:USW00094728,",,W,",2.3
2024-01-15T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",1.0
2024-01-15T00:00:00,RHAV,GHCND:USW00094728,",,W,",44.0
2024-01-15T00:00:00,RHMN,GHCND:USW00094728,",,W,",28.0
2024-01-15T00:00:00,RHMX,GHCND:USW00094728,",,W,",85.0
2024-01-15T00:00:00,SNOW,GHCND:USW00094728,",,W,",10.0
2024-01-15T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",0.0
2024-01-15T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",-1.6
2024-01-15T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-4.9
2024-01-15T00:00:00,WDF2,GHCND:USW00094728,",,W,",280.0
2024-01-15T00:00:00,WDF5,GHCND:USW00094728,",,W,",30.0
2024-01-15T00:00:00,WSF2,GHCND:USW00094728,",,W,",5.8
2024-01-15T00:00:00,WSF5,GHCND:USW00094728,",,W,",10.7
2024-01-15T00:00:00,WT01,GHCND:USW00094728,",,W,",1.0
2024-01-16T00:00:00,ADPT,GHCND:USW00094728,",,W,",-61.0
2024-01-16T00:00:00,ASLP,GHCND:USW00094728,",,W,",10112.0
2024-01-16T00:00:00,ASTP,GHCND:USW00094728,",,W,",10064.0
2024-01-16T00:00:00,AWBT,GHCND:USW00094728,",,W,",-33.0
2024-01-16T00:00:00,AWND,GHCND:USW00094728,",,W,",4.1
2024-01-16T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",7.1
2024-01-16T00:00:00,RHAV,GHCND:USW00094728,",,W,",78.0
2024-01-16T00:00:00,RHMN,GHCND:USW00094728,",,W,",55.0
2024-01-16T00:00:00,RHMX,GHCND:USW00094728,",,W,",89.0
2024-01-16T00:00:00,SNOW,GHCND:USW00094728,",,W,",33.0
2024-01-16T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",30.0
2024-01-16T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",0.0
2024-01-16T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-5.5
2024-01-16T00:00:00,WDF2,GHCND:USW00094728,",,W,",40.0
2024-01-16T00:00:00,WDF5,GHCND:USW00094728,",,W,",30.0
2024-01-16T00:00:00,WSF2,GHCND:USW00094728,",,W,",9.4
2024-01-16T00:00:00,WSF5,GHCND:USW00094728,",,W,",16.1
2024-01-16T00:00:00,WT01,GHCND:USW00094728,",,W,",1.0
2024-01-16T00:00:00,WT06,GHCND:USW00094728,",,W,",1.0
2024-01-16T00:00:00,WT08,GHCND:USW00094728,",,W,",1.0
2024-01-17T00:00:00,ADPT,GHCND:USW00094728,",,W,",-161.0
2024-01-17T00:00:00,ASLP,GHCND:USW00094728,",,W,",10152.0
2024-01-17T00:00:00,ASTP,GHCND:USW00094728,",,W,",10102.0
2024-01-17T00:00:00,AWBT,GHCND:USW00094728,",,W,",-83.0
2024-01-17T00:00:00,AWND,GHCND:USW00094728,",,W,",3.7
2024-01-17T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
2024-01-17T00:00:00,RHAV,GHCND:USW00094728,",,W,",46.0
2024-01-17T00:00:00,RHMN,GHCND:USW00094728,",,W,",30.0
2024-01-17T00:00:00,RHMX,GHCND:USW00094728,",,W,",62.0
2024-01-17T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
2024-01-17T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",30.0
2024-01-17T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",-4.3
2024-01-17T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-8.2
2024-01-17T00:00:00,WDF2,GHCND:USW00094728,",,W,",240.0
2024-01-17T00:00:00,WDF5,GHCND:USW00094728,",,W,",10.0
2024-01-17T00:00:00,WSF2,GHCND:USW00094728,",,W,",8.1
2024-01-17T00:00:00,WSF5,GHCND:USW00094728,",,W,",12.5
2024-01-18T00:00:00,ADPT,GHCND:USW00094728,",,W,",-133.0
2024-01-18T00:00:00,ASLP,GHCND:USW00094728,",,W,",10196.0
2024-01-18T00:00:00,ASTP,GHCND:USW00094728,",,W,",10149.0
2024-01-18T00:00:00,AWBT,GHCND:USW00094728,",,W,",-50.0
2024-01-18T00:00:00,AWND,GHCND:USW00094728,",,W,",2.7
2024-01-18T00:00:00,PRCP,GHCND:USW00094728,"T,,W,2400",0.0
2024-01-18T00:00:00,RHAV,GHCND:USW00094728,",,W,",43.0
2024-01-18T00:00:00,RHMN,GHCND:USW00094728,",,W,",35.0
2024-01-18T00:00:00,RHMX,GHCND:USW00094728,",,W,",58.0
2024-01-18T00:00:00,SNOW,GHCND:USW00094728,"T,,W,",0.0
